8:30am - 11:30am,Centurion CC vs Mission Hawks at Minoru
8:30am - 11:30am,Surrey Warriors II vs Burnaby Wescan at Delta
8:30am - 11:30am,West Vancouver II vs West Vancouver I at Hugo Ray 1
9:00am - 5:00pm,Meraloma U17 vs Surrey United U17 at Enver Creek
9:00am - 5:00pm,West Vancouver U17 vs Master Blasters U17 at Westerman School
12:00pm - 8:00pm,Abbotsford I vs Surrey Hawks I at CFV Exhibition
12:00pm - 8:00pm,Ahmadiyya I vs West Coast Tamils I at Langley (Brown park)
12:00pm - 8:00pm,Centurion vs Richmond I at West Newton Ground
12:00pm - 8:00pm,Cosmos III vs Richmond III at Crescent South
12:00pm - 8:00pm,Delta Patriot II vs Kings III at Chilliwack Rosedale
12:00pm - 8:00pm,Ind-Can IV vs Abbotsford VII at Bakerview Elementary
12:00pm - 8:00pm,Meraloma II vs Newton Surrey II at Connaught
12:00pm - 8:00pm,Meraloma V vs Burnaby Windies II at Lower Brockton
12:00pm - 8:00pm,Newton Surrey VI vs Burnaby Wescan at Sperling #1 - North Ground
12:00pm - 8:00pm,North Vancouver V vs Delta Raptors II at Norgate Park
12:00pm - 8:00pm,Pakcan III vs Abbotsford V at North Surrey Community Park
12:00pm - 8:00pm,Richmond II vs Vancouver Eagles I at Minoru
12:00pm - 8:00pm,Surrey Hawks II vs Surrey United at Sullivan Heights
12:00pm - 8:00pm,Surrey Hawks III vs Newton Surrey III at Crescent North
12:00pm - 8:00pm,Surrey Stars CC VIII vs Mission Hawks I at Silverdale Park
12:00pm - 8:00pm,Surrey Stars V vs Abbotsford VI at Bridgeview Park Cricket Ground
12:00pm - 8:00pm,Surrey Stars VII vs Kings II at Cougar Creek
12:00pm - 8:00pm,Surrey United IV vs Delta Raptors I at AHP Matthew Elementary
12:00pm - 8:00pm,Surrey United VI vs Surrey Warriors V at Douglas
12:00pm - 8:00pm,Surrey Warrior CC III vs Cosmos VII at Chilliwack Meadowbrook
12:00pm - 8:00pm,Surrey Warriors II vs Delta Patriots I at Delview Cricket Ground
12:00pm - 8:00pm,Vancouver Eagles II vs Bengal Tigers I at Upper Brockton
12:00pm - 8:00pm,West Vancouver III vs Burrard I at Hugo Ray 1
12:00pm - 8:00pm,West Vancouver VI vs Lions II at Hugo Ray 2
12:00pm - 8:00pm,West Vancouver VIII vs Burnaby Windies CC III at Sperling #2 - South Ground
12:00pm - 8:00pm,Windies II vs Cosmos V at Mackin
2:00pm - 10:00pm,Stallions Grey vs Champions U17 at Enver Creek
2:30pm - 10:30pm,Meraloma Women vs Stallions Women at Westerman School
